function	op_address	mnemonic	matched_constants	pcode
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c0656f8, 4) INDIRECT (ram, 0x8c0656f8, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c0656fc, 4) INDIRECT (ram, 0x8c0656fc, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065700, 4) INDIRECT (ram, 0x8c065700, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065704, 4) INDIRECT (ram, 0x8c065704, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065708, 4) INDIRECT (ram, 0x8c065708, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c06570c, 4) INDIRECT (ram, 0x8c06570c, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065710, 4) INDIRECT (ram, 0x8c065710, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065714, 4) INDIRECT (ram, 0x8c065714, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065718, 4) INDIRECT (ram, 0x8c065718, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c06571c, 4) INDIRECT (ram, 0x8c06571c, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065720, 4) INDIRECT (ram, 0x8c065720, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c06589e, 2) INDIRECT (ram, 0x8c06589e, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c0658a0, 2) INDIRECT (ram, 0x8c0658a0, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c0658a2, 2) INDIRECT (ram, 0x8c0658a2, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c0658a4, 2) INDIRECT (ram, 0x8c0658a4, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c0658a6, 2) INDIRECT (ram, 0x8c0658a6, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c0658a8, 4) INDIRECT (ram, 0x8c0658a8, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c0658ac, 4) INDIRECT (ram, 0x8c0658ac, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c0658b0, 4) INDIRECT (ram, 0x8c0658b0, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c0658b4, 4) INDIRECT (ram, 0x8c0658b4, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a26, 2) INDIRECT (ram, 0x8c065a26, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a28, 2) INDIRECT (ram, 0x8c065a28, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a2a, 2) INDIRECT (ram, 0x8c065a2a, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a2c, 2) INDIRECT (ram, 0x8c065a2c, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a2e, 2) INDIRECT (ram, 0x8c065a2e, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a30, 2) INDIRECT (ram, 0x8c065a30, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a32, 2) INDIRECT (ram, 0x8c065a32, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a34, 2) INDIRECT (ram, 0x8c065a34, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a36, 2) INDIRECT (ram, 0x8c065a36, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a38, 4) INDIRECT (ram, 0x8c065a38, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a3c, 4) INDIRECT (ram, 0x8c065a3c, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a40, 4) INDIRECT (ram, 0x8c065a40, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a44, 4) INDIRECT (ram, 0x8c065a44, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a48, 4) INDIRECT (ram, 0x8c065a48, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065a4c, 4) INDIRECT (ram, 0x8c065a4c, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065b7a, 2) INDIRECT (ram, 0x8c065b7a, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065b7c, 2) INDIRECT (ram, 0x8c065b7c, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065b7e, 2) INDIRECT (ram, 0x8c065b7e, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065b80, 4) INDIRECT (ram, 0x8c065b80, 4) , (const, 0x118, 4)
