# Functions with BOTH 0x008c literal refs AND small-offset reads in [0x24, 0xa4)
# These are candidate cmd=2 sync struct consumers (powerup state readers).

8c0bb604 FUN_8c0bb604 -> 2 0x008c lits, reads at: 0x30 0x34
8c164362 FUN_8c164362 -> 3 0x008c lits, reads at: 0x24 0x34 0x28 0x3c
8c14b46e FUN_8c14b46e -> 2 0x008c lits, reads at: 0x30 0x34 0x2c
8c058ae2 FUN_8c058ae2 -> 1 0x008c lits, reads at: 0x30 0x24 0x38 0x28
8c22c2a0 _kmiCreateRegionArray -> 1 0x008c lits, reads at: 0x30 0x34 0x24 0x28 0x38 0x3c 0x2c
8c113d1e FUN_8c113d1e -> 1 0x008c lits, reads at: 0x28
8c0d01a0 FUN_8c0d01a0 -> 1 0x008c lits, reads at: 0x30 0x28 0x3c
8c07f510 FUN_8c07f510 -> 3 0x008c lits, reads at: 0x30 0x34 0x24 0x28 0x38 0x2c 0x3c
8c11113e FUN_8c11113e -> 1 0x008c lits, reads at: 0x34
8c0491c4 FUN_8c0491c4 -> 1 0x008c lits, reads at: 0x24 0x28 0x2c
8c018afc FUN_8c018afc -> 2 0x008c lits, reads at: 0x24 0x28 0x2c
8c112470 FUN_8c112470 -> 1 0x008c lits, reads at: 0x30 0x34
8c170f9c FUN_8c170f9c -> 1 0x008c lits, reads at: 0x30 0x3c
8c0ad8fe FUN_8c0ad8fe -> 1 0x008c lits, reads at: 0x34
8c1440fc FUN_8c1440fc -> 1 0x008c lits, reads at: 0x30 0x34 0x38 0x2c 0x3c
8c1075ec FUN_8c1075ec -> 2 0x008c lits, reads at: 0x30 0x3c 0x2c
8c021594 FUN_8c021594 -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x38 0x2c 0x3c
8c111494 FUN_8c111494 -> 1 0x008c lits, reads at: 0x28
8c0cf544 FUN_8c0cf544 -> 1 0x008c lits, reads at: 0x30 0x24 0x2c
8c07dd36 FUN_8c07dd36 -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x38 0x28 0x2c 0x3c
8c02d630 FUN_8c02d630 -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x28 0x38 0x2c 0x3c
8c0470f4 FUN_8c0470f4 -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x28 0x38 0x2c 0x3c
8c01336c FUN_8c01336c -> 4 0x008c lits, reads at: 0x28 0x2c
8c0cfa82 FUN_8c0cfa82 -> 1 0x008c lits, reads at: 0x30 0x24 0x2c
8c1f5140 FUN_8c1f5140 -> 1 0x008c lits, reads at: 0x34
8c04d8c8 FUN_8c04d8c8 -> 1 0x008c lits, reads at: 0x24 0x28
8c0d4c40 FUN_8c0d4c40 -> 2 0x008c lits, reads at: 0x28
8c15cc74 FUN_8c15cc74 -> 1 0x008c lits, reads at: 0x38
8c0aeb86 FUN_8c0aeb86 -> 1 0x008c lits, reads at: 0x30 0x38
8c14dfb4 FUN_8c14dfb4 -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x38 0x2c 0x3c
8c07b7a0 FUN_8c07b7a0 -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x38 0x28 0x3c 0x2c
8c16099c FUN_8c16099c -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x28 0x38 0x2c 0x3c
8c0d7f14 FUN_8c0d7f14 -> 2 0x008c lits, reads at: 0x30 0x24 0x34 0x28 0x38 0x2c 0x3c
8c105a58 FUN_8c105a58 -> 1 0x008c lits, reads at: 0x24 0x34 0x38 0x2c
8c0d02a4 FUN_8c0d02a4 -> 1 0x008c lits, reads at: 0x30 0x38
8c112920 FUN_8c112920 -> 1 0x008c lits, reads at: 0x30
8c0a634e FUN_8c0a634e -> 1 0x008c lits, reads at: 0x30 0x2c
8c167274 FUN_8c167274 -> 1 0x008c lits, reads at: 0x30 0x34 0x24 0x28 0x38 0x2c 0x3c
8c15c6a2 FUN_8c15c6a2 -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x28 0x38 0x2c 0x3c
8c08a994 FUN_8c08a994 -> 1 0x008c lits, reads at: 0x28
8c113de0 FUN_8c113de0 -> 1 0x008c lits, reads at: 0x28
8c02722c FUN_8c02722c -> 2 0x008c lits, reads at: 0x24 0x34
8c15dbe6 FUN_8c15dbe6 -> 1 0x008c lits, reads at: 0x30 0x34 0x38 0x2c 0x3c
8c15db48 FUN_8c15db48 -> 1 0x008c lits, reads at: 0x30 0x34 0x38 0x2c 0x3c
8c1186ec FUN_8c1186ec -> 1 0x008c lits, reads at: 0x3c
8c0cf7ca FUN_8c0cf7ca -> 1 0x008c lits, reads at: 0x30 0x28 0x3c
8c1135bc FUN_8c1135bc -> 1 0x008c lits, reads at: 0x28
8c03edcc FUN_8c03edcc -> 1 0x008c lits, reads at: 0x24 0x28 0x2c
8c15e9ae FUN_8c15e9ae -> 1 0x008c lits, reads at: 0x38
